participant_id,communication_method,satisfaction_score,task_completion_time
1,face_to_face,5.587774310480128,22.633819035880776
2,face_to_face,7.946130664383976,21.65396948104531
3,face_to_face,8.161049597859162,31.79263343279772
4,face_to_face,5.533329105452897,32.064590085425294
5,face_to_face,6.342771769342448,21.33613115776842
6,face_to_face,6.81112673695669,24.597240416194527
7,face_to_face,8.02877159471392,29.050984109417747
8,face_to_face,7.50065748158957,27.512937660218785
9,face_to_face,8.408822725055813,30.6201131980864
10,face_to_face,7.887881621283282,24.14360105124101
11,face_to_face,6.101027377371283,25.590756670011505
12,face_to_face,8.773316938080924,29.349513115700876
13,face_to_face,8.386471577359004,24.540318972741222
14,face_to_face,9.184714423002847,25.34449393996027
15,face_to_face,5.471033719987071,16.587866231787004
16,face_to_face,9.536827721044693,30.58477773100008
17,face_to_face,9.284323412247328,18.243212131799943
18,face_to_face,7.664979990693586,22.31416741075201
19,face_to_face,9.936040766504355,23.149431947738663
20,face_to_face,9.04545997442639,26.770061121739
21,face_to_face,6.63047543030387,20.950873575908737
22,face_to_face,5.139229437804106,24.101376855044396
23,face_to_face,5.487803628503488,19.261701768490454
24,face_to_face,7.449883103752628,25.48121191606678
25,face_to_face,7.156996586003339,29.073500515553974
26,face_to_face,8.56114147752892,29.91470367721616
27,face_to_face,6.644574036707149,29.254217407985855
28,face_to_face,6.805939163361572,31.036737235534787
29,face_to_face,8.981447370780558,17.831108256462382
30,face_to_face,5.892746515370679,19.495271597526592
31,video_call,6.1125675228579555,26.337746691769727
32,video_call,6.028069290635668,24.151820378791577
33,video_call,4.201409653318981,33.141248672438785
34,video_call,7.184999065563769,29.883060724534154
35,video_call,7.021812827710815,35.33477247163754
36,video_call,9.160348014970216,21.24203480126007
37,video_call,5.941215963985031,29.417784470195578
38,video_call,6.617672476280545,20.365782665542277
39,video_call,6.248827160696601,29.89409611959272
40,video_call,6.7496434926000735,30.13366230175334
41,video_call,6.762375503909713,28.024312829240586
42,video_call,7.310948589661084,34.89516691644096
43,video_call,6.475501902926368,25.020313992120812
44,video_call,6.908485277857256,23.519220877886355
45,video_call,9.502536997619254,20.303396585454855
46,video_call,6.957107343840754,21.80936996391559
47,video_call,6.95359427254056,15.567719775537572
48,video_call,7.801070483173762,25.44359703134786
49,video_call,5.271976877783169,23.33814620463694
50,video_call,7.3317501275723185,26.909126814256222
51,video_call,5.9355639164276095,22.826155653988565
52,video_call,6.466517806256464,26.904748466970215
53,video_call,7.682416792403394,36.22417285611392
54,video_call,7.9658980324346444,36.05631373751939
55,video_call,7.6038633610522774,21.089427637302535
56,video_call,7.7508898690512735,32.49258795279848
57,video_call,6.262873053561744,37.13288773773281
58,video_call,8.825157068732429,19.281880755268208
59,video_call,7.504208462877724,35.264547623146946
60,video_call,7.550295606645138,22.543926097500453
61,email,2.743406598859313,43.40287120584432
62,email,4.525115912953414,33.84208641081702
63,email,5.619204816709585,31.54055438091045
64,email,7.154302267679707,24.0480140617096
65,email,5.839037129844104,32.519425502834324
66,email,8.206231126603202,27.84624642680516
67,email,8.088619197052477,43.34263889901624
68,email,3.896070315275396,36.605199555795444
69,email,5.137568116866647,26.09194642204939
70,email,4.820245067067493,39.84310553804039
71,email,5.662016807746395,34.79871670425742
72,email,5.842933346877454,27.273175378564375
73,email,3.4912436190165064,27.753076656593695
74,email,7.921748757844453,35.97966836946635
75,email,5.871979471814911,39.77910058811702
76,email,6.278324905593493,27.051084700606676
77,email,5.741892606893011,47.407814136394876
78,email,4.703157071209822,34.342515881308856
79,email,4.452762474143462,18.75168291773063
80,email,6.210837273389671,36.05727554515626
81,email,4.388725243412544,30.16196917134472
82,email,5.28207654166077,40.81300192289767
83,email,8.728888703286303,43.34818927650147
84,email,6.001999083530495,37.16937463202643
85,email,6.8923442301911875,24.154309505073595
86,email,7.090713166107417,32.69167204404968
87,email,3.819324019260355,25.114177459109907
88,email,7.188741720102337,28.00167672054347
89,email,6.107660323230025,18.824828315811462
90,email,5.568385084676748,41.570331452256156
