participant_id,feedback_type,experience_level,performance_improvement
1,positive,novice,9.572290132289002
2,positive,expert,1.2176963473291105
3,positive,novice,7.940960845734421
4,positive,expert,8.549419680849162
5,positive,novice,6.915945554812078
6,positive,expert,6.546548023582483
7,positive,novice,6.00106115994787
8,positive,expert,7.476592163128558
9,positive,novice,4.967120997982368
10,positive,expert,10.219088169791418
11,positive,novice,6.793111079936887
12,positive,expert,4.991659025885824
13,positive,novice,7.4668423771578585
14,positive,expert,6.536301308554158
15,positive,novice,10.78372217103974
16,positive,expert,5.676724325496497
17,positive,novice,9.268613373849867
18,positive,expert,6.1791098335238575
19,positive,novice,8.628124930197364
20,positive,expert,5.667988429797106
21,positive,novice,5.893849640161228
22,positive,expert,10.050407515868034
23,positive,novice,5.426937281535141
24,positive,expert,9.103282509103934
25,positive,novice,3.710923911574528
26,positive,expert,6.4630255322981665
27,positive,novice,7.195668880460951
28,positive,expert,7.402303632931944
29,positive,novice,10.569722772568724
30,positive,expert,7.4996319136365415
31,positive,novice,5.0608210860514
32,positive,expert,3.162557817348314
33,positive,novice,7.523286884784311
34,positive,expert,7.414638291524782
35,positive,novice,4.159878530800632
36,positive,expert,3.353620257721491
37,positive,novice,2.70533931533889
38,positive,expert,5.489025534261941
39,positive,novice,4.496527655698458
40,positive,expert,7.651506539731607
41,positive,novice,5.588275429704482
42,positive,expert,10.398827577622725
43,positive,novice,10.030116860066965
44,positive,expert,8.007996509575452
45,positive,novice,9.163088076600507
46,positive,expert,7.277436973560421
47,positive,novice,-1.7190502481439482
48,positive,expert,7.1855728021991805
49,positive,novice,7.564734983706807
50,positive,expert,8.45294159808904
51,positive,novice,5.880725348977115
52,positive,expert,2.200962919369919
53,positive,novice,7.98734109489964
54,positive,expert,5.639418724944962
55,positive,novice,4.233755224928426
56,positive,expert,7.526781180216898
57,positive,novice,8.71265409577455
58,positive,expert,4.221626883212597
59,positive,novice,8.890720113634181
60,positive,expert,9.088906989500723
61,critical,novice,2.0326340707401855
62,critical,expert,5.198326206989693
63,critical,novice,2.1374135168354944
64,critical,expert,10.045539841071772
65,critical,novice,4.0429920673047075
66,critical,expert,1.963477540625502
67,critical,novice,0.2921396687381437
68,critical,expert,1.8184331676251717
69,critical,novice,0.10862358127799165
70,critical,expert,5.307925446728612
71,critical,novice,4.6340586979000875
72,critical,expert,6.1491605748524325
73,critical,novice,6.578509620414956
74,critical,expert,1.9853833876266016
75,critical,novice,-0.17351262832447434
76,critical,expert,2.2069327667324248
77,critical,novice,7.505217282375671
78,critical,expert,5.363041188071779
79,critical,novice,4.004099678887407
80,critical,expert,-1.881737933468262
81,critical,novice,8.54842638850164
82,critical,expert,4.424799692794308
83,critical,novice,0.03834399390184284
84,critical,expert,3.767586665280955
85,critical,novice,-1.2327569534977671
86,critical,expert,3.263525360830908
87,critical,novice,3.943780970419207
88,critical,expert,1.6835458307336078
89,critical,novice,-1.3500855857756227
90,critical,expert,6.971181536499641
91,critical,novice,7.805257564315109
92,critical,expert,11.631339472533233
93,critical,novice,6.957299651473923
94,critical,expert,6.15764828236936
95,critical,novice,2.450650095613504
96,critical,expert,11.464455915182144
97,critical,novice,9.49605469371905
98,critical,expert,7.441798960172486
99,critical,novice,10.125046269993216
100,critical,expert,12.748037095543642
101,critical,novice,7.635868583879728
102,critical,expert,8.002577605880512
103,critical,novice,10.463451579823326
104,critical,expert,9.409656063884393
105,critical,novice,9.352563534627926
106,critical,expert,10.429457917622422
107,critical,novice,10.768259673387508
108,critical,expert,6.3096269031844185
109,critical,novice,10.71194159744147
110,critical,expert,8.559812193748758
111,critical,novice,9.596715559024167
112,critical,expert,4.103468049284529
113,critical,novice,1.5549796507021973
114,critical,expert,10.777867024770236
115,critical,novice,8.12369839263775
116,critical,expert,11.170550455608225
117,critical,novice,9.96409978587834
118,critical,expert,7.022047192888614
119,critical,novice,9.85295842993879
120,critical,expert,12.455635133572152
