country,iso3c,year,unemp,gdp
Austria,AUT,2000,4.69000005722046,46469.8610601036
Austria,AUT,2001,4.01000022888184,46878.9162398602
Austria,AUT,2002,4.84999990463257,47419.2784117541
Austria,AUT,2003,4.78000020980835,47633.1140009916
Austria,AUT,2004,5.82999992370605,48633.2718157639
Austria,AUT,2005,5.63000011444092,49387.0278641202
Austria,AUT,2006,5.23999977111816,50840.6944621561
Austria,AUT,2007,4.8600001335144,52565.0739687956
Austria,AUT,2008,4.13000011444092,53166.0542015286
Austria,AUT,2009,5.30000019073486,51030.7246778186
Austria,AUT,2010,4.82000017166138,51843.4283275453
Austria,AUT,2011,4.55999994277954,53179.1474647432
Austria,AUT,2012,4.86999988555908,53297.4447850919
Austria,AUT,2013,5.34000015258789,52997.7538166712
Austria,AUT,2014,5.61999988555908,52932.9001116518
Austria,AUT,2015,5.71999979019165,52873.8586545571
Austria,AUT,2016,6.01000022888184,53345.7415259818
Austria,AUT,2017,5.5,54172.9867888254
Austria,AUT,2018,4.84999990463257,55217.2865300768
Austria,AUT,2019,4.48999977111816,55806.4382499366
Austria,AUT,2020,5.3600001335144,51988.4158297933
Austria,AUT,2021,6.17999982833862,54121.1455420496
Germany,DEU,2000,7.92000007629395,42928.1813366719
Germany,DEU,2001,7.76999998092651,43576.6365260124
Germany,DEU,2002,8.47999954223633,43417.3079988044
Germany,DEU,2003,9.77999973297119,43089.4738197519
Germany,DEU,2004,10.7299995422363,43605.2786723109
Germany,DEU,2005,11.1700000762939,43949.2881791796
Germany,DEU,2006,10.25,45678.0819192686
Germany,DEU,2007,8.65999984741211,47100.6097046962
Germany,DEU,2008,7.51999998092651,47643.2227372401
Germany,DEU,2009,7.73999977111816,45044.4863870437
Germany,DEU,2010,6.96999979019165,46999.2399709894
Germany,DEU,2011,5.82000017166138,49757.9241566763
Germany,DEU,2012,5.38000011444092,49872.4474888681
Germany,DEU,2013,5.23000001907349,49954.173749339
Germany,DEU,2014,4.98000001907349,50845.5269954271
Germany,DEU,2015,4.61999988555908,51159.2974643888
Germany,DEU,2016,4.11999988555908,51879.6725937905
Germany,DEU,2017,3.75,53071.4555699913
Germany,DEU,2018,3.38000011444092,53431.3928655449
Germany,DEU,2019,3.14000010490417,53874.3166510099
Germany,DEU,2020,3.85999989509583,51840.3296919358
Germany,DEU,2021,3.5699999332428,53179.6544047515
Greece,GRC,2000,11.2399997711182,29133.8394364843
Greece,GRC,2001,10.460000038147,30180.2258479604
Greece,GRC,2002,9.97999954223633,31249.3973548441
Greece,GRC,2003,9.40999984741211,32981.3517843691
Greece,GRC,2004,10.3100004196167,34564.9112761871
Greece,GRC,2005,9.98999977111816,34670.1850265467
Greece,GRC,2006,9.01000022888184,36520.0480347644
Greece,GRC,2007,8.39999961853027,37619.6608561742
Greece,GRC,2008,7.76000022888184,37394.1725254225
Greece,GRC,2009,9.61999988555908,35691.9459430994
Greece,GRC,2010,12.710000038147,33693.2114765963
Greece,GRC,2011,17.8600006103516,30318.4046680383
Greece,GRC,2012,24.4400005340576,28322.5730581368
Greece,GRC,2013,27.4699993133545,27810.9112255691
Greece,GRC,2014,26.4899997711182,28129.9613244489
Greece,GRC,2015,24.8999996185303,28260.3866739065
Greece,GRC,2016,23.5400009155273,28239.9192063819
Greece,GRC,2017,21.4899997711182,28604.8609402657
Greece,GRC,2018,19.2900009155273,29141.1743829385
Greece,GRC,2019,17.3099994659424,29721.5857620428
Greece,GRC,2020,16.3099994659424,27103.5409073372
Greece,GRC,2021,14.710000038147,29548.0389102217
Italy,ITA,2000,10.8299999237061,43053.93306429
Italy,ITA,2001,9.60000038146973,43869.4279411713
Italy,ITA,2002,9.21000003814697,43915.385340484
Italy,ITA,2003,8.86999988555908,43781.2199783421
Italy,ITA,2004,7.86999988555908,44118.0366368665
Italy,ITA,2005,7.73000001907349,44260.8274173515
Italy,ITA,2006,6.78000020980835,44918.1703531499
Italy,ITA,2007,6.07999992370605,45356.5367193485
Italy,ITA,2008,6.71999979019165,44623.6020153057
Italy,ITA,2009,7.75,42074.9212455091
Italy,ITA,2010,8.35999965667725,42664.3552727925
Italy,ITA,2011,8.35999965667725,42892.3055641948
Italy,ITA,2012,10.6499996185303,41501.7112309705
Italy,ITA,2013,12.1499996185303,40268.1127892773
Italy,ITA,2014,12.6800003051758,39898.5264609826
Italy,ITA,2015,11.8999996185303,40247.8290437942
Italy,ITA,2016,11.6899995803833,40837.7376281437
Italy,ITA,2017,11.210000038147,41581.120790548
Italy,ITA,2018,10.6099996566772,42045.9214694407
Italy,ITA,2019,9.94999980926514,42739.0499116836
Italy,ITA,2020,9.15999984741211,39065.2820998578
Italy,ITA,2021,9.5,41929.4311112097
